bus_id,stop_id,stop_name,arrival_time,departure_time,traffic_delay,signal_delay,total_delay,previous_delay,passengers,dwell_time,congestion_level,traffic_factor,distance_to_next_stop,num_signals,bus_frequency_per_hour,headway,headway_change_rate,demand_level,bunching_label,passenger_load,bus_capacity,waiting_passengers,boarding_time,overcrowding_flag,passenger_wait_time
B2,S1,Shivajinagar,271.93,277.4,2.76,1.17,3.93,0.0,41,5.47,High,3.0,2.0,1,7.0,8.160000000000025,-62.23999999999995,Medium,0,50,60,15,0.75,False,5.5800000000000125
B3,S1,Shivajinagar,282.23,290.52,4.75,1.48,6.23,0.0,62,8.29,High,3.0,2.0,1,7.0,10.300000000000011,2.1399999999999864,High,0,16,60,5,0.25,False,5.650000000000006
B4,S1,Shivajinagar,288.49,297.28,3.78,0.71,4.49,0.0,65,8.78,High,3.0,2.0,1,7.0,6.259999999999991,-4.0400000000000205,High,1,47,60,42,2.1,False,7.329999999999996
B5,S1,Shivajinagar,298.28,302.73,5.54,0.74,6.28,0.0,31,4.45,High,3.0,2.0,1,7.0,9.789999999999964,3.5299999999999727,Medium,0,45,60,43,2.15,False,9.194999999999984
B6,S1,Shivajinagar,305.23,308.96,4.05,1.18,5.23,0.0,26,3.74,High,3.0,2.0,1,7.0,6.9500000000000455,-2.839999999999918,Low,1,16,60,7,0.35,False,4.175000000000023
B1,S1,Shivajinagar,379.95,388.79,3.86,0.88,4.75,0.0,62,8.85,Medium,1.8,2.0,1,7.0,74.71999999999997,67.76999999999992,High,0,14,60,36,1.8,False,40.95999999999999
B2,S1,Shivajinagar,386.11,392.48,2.23,0.68,2.91,0.0,47,6.37,Medium,1.8,2.0,1,7.0,6.160000000000025,-68.55999999999995,Medium,1,26,60,11,0.55,False,4.180000000000012
B3,S1,Shivajinagar,396.02,401.92,4.15,0.67,4.82,0.0,42,5.9,Medium,1.8,2.0,1,7.0,9.909999999999968,3.749999999999943,Medium,0,37,60,15,0.75,False,6.454999999999984
B4,S1,Shivajinagar,402.76,408.83,2.17,1.4,3.56,0.0,43,6.07,Medium,1.8,2.0,1,7.0,6.740000000000009,-3.169999999999959,Medium,1,54,60,5,0.25,False,3.870000000000005
B5,S1,Shivajinagar,413.99,422.23,5.93,0.86,6.79,0.0,62,8.23,Medium,1.8,2.0,1,7.0,11.230000000000018,4.490000000000009,High,0,52,60,14,0.7000000000000001,False,7.0150000000000095
B6,S1,Shivajinagar,418.71,427.51,2.66,0.85,3.51,0.0,63,8.8,Medium,1.8,2.0,1,7.0,4.71999999999997,-6.510000000000048,High,1,35,60,48,2.4000000000000004,False,7.159999999999986
B1,S10,Electronic City,173.76,181.15,4.72,1.0,5.72,6.42,56,7.39,High,3.0,3.0,1,7.0,10.0,0.0,Medium,0,14,60,17,0.8500000000000001,False,6.7
B2,S10,Electronic City,187.96,193.72,5.96,1.12,7.09,10.05,43,5.76,High,3.0,3.0,1,7.0,14.200000000000015,4.200000000000017,Medium,0,65,60,36,1.8,True,10.700000000000008
B3,S10,Electronic City,212.35,221.37,5.97,0.73,6.7,13.65,71,9.02,High,3.0,3.0,1,7.0,24.389999999999983,10.18999999999997,High,0,67,60,38,1.9,True,15.994999999999992
B4,S10,Electronic City,219.83,230.21,7.96,1.13,9.09,11.15,79,10.38,High,3.0,3.0,1,7.0,7.480000000000018,-16.909999999999968,High,0,24,60,12,0.6000000000000001,False,4.940000000000009
B5,S10,Electronic City,242.31,247.17,5.98,1.4,7.38,6.64,33,4.86,High,3.0,3.0,1,7.0,22.47999999999999,14.999999999999972,Medium,0,23,60,33,1.65,False,14.539999999999996
B6,S10,Electronic City,264.08,266.75,6.67,1.45,8.12,12.54,15,2.67,High,3.0,3.0,1,7.0,21.769999999999985,-0.710000000000008,Low,0,45,60,37,1.85,False,14.584999999999994
B1,S10,Electronic City,378.9,388.08,3.08,0.59,3.67,6.91,72,9.18,Medium,1.8,3.0,1,7.0,114.82,93.05,High,0,11,60,45,2.25,False,61.91
B2,S10,Electronic City,395.89,398.54,2.37,1.43,3.8,4.68,10,2.65,Medium,1.8,3.0,1,7.0,16.99000000000001,-97.82999999999998,Low,0,25,60,44,2.2,False,12.895000000000003
B4,S10,Electronic City,397.28,402.42,3.07,0.79,3.87,6.76,34,5.13,Medium,1.8,3.0,1,7.0,1.3899999999999864,-15.600000000000025,Medium,2,59,60,7,0.35,False,1.3949999999999934
B5,S10,Electronic City,414.5,418.05,2.11,0.99,3.11,8.37,22,3.55,Medium,1.8,3.0,1,7.0,17.220000000000027,15.83000000000004,Low,0,10,60,27,1.35,False,11.310000000000011
B3,S10,Electronic City,416.18,422.1,2.4,1.18,3.58,4.92,43,5.92,Medium,1.8,3.0,1,7.0,1.6800000000000068,-15.54000000000002,Medium,2,12,60,32,1.6,False,4.040000000000004
B6,S10,Electronic City,425.66,433.51,2.92,0.85,3.77,3.79,59,7.85,Medium,1.8,3.0,1,7.0,9.480000000000018,7.800000000000011,Medium,0,33,60,25,1.25,False,7.240000000000009
B3,S10,Electronic City,473.13,479.83,5.99,0.5,6.49,5.41,45,6.71,Medium,1.8,3.0,1,7.0,47.46999999999997,37.98999999999995,Medium,0,18,60,46,2.3000000000000003,False,28.334999999999987
B2,S10,Electronic City,474.8,478.92,4.29,0.96,5.24,4.92,26,4.11,Medium,1.8,3.0,1,7.0,1.670000000000016,-45.79999999999996,Low,2,12,60,43,2.15,False,5.135000000000008
B1,S10,Electronic City,482.72,485.38,3.36,0.88,4.24,5.83,10,2.65,Medium,1.8,3.0,1,7.0,7.920000000000016,6.25,Low,0,65,60,30,1.5,True,6.960000000000008
B4,S10,Electronic City,484.78,493.8,8.85,1.11,9.96,8.63,68,9.02,Medium,1.8,3.0,1,7.0,2.059999999999945,-5.860000000000071,High,2,45,60,5,0.25,False,1.5299999999999725
B5,S10,Electronic City,494.33,496.48,1.41,1.05,2.46,6.84,11,2.14,Medium,1.8,3.0,1,7.0,9.550000000000011,7.490000000000066,Low,0,17,60,48,2.4000000000000004,False,9.575000000000006
B6,S10,Electronic City,509.65,519.29,6.29,1.04,7.33,4.65,72,9.64,Medium,1.8,3.0,1,7.0,15.319999999999991,5.769999999999982,High,0,64,60,25,1.25,True,10.159999999999997
B1,S10,Electronic City,569.06,575.5,3.96,1.14,5.1,4.08,45,6.44,Medium,1.8,3.0,1,7.0,59.40999999999997,44.089999999999975,Medium,0,11,60,34,1.7000000000000002,False,33.10499999999998
B2,S10,Electronic City,578.14,582.35,1.03,0.98,2.01,7.86,26,4.21,Medium,1.8,3.0,1,7.0,9.08000000000004,-50.32999999999993,Low,0,55,60,34,1.7000000000000002,False,7.94000000000002
B4,S10,Electronic City,592.56,594.74,5.07,0.84,5.91,6.28,11,2.18,Medium,1.8,3.0,1,7.0,14.41999999999996,5.339999999999918,Low,0,16,60,17,0.8500000000000001,False,8.90999999999998
B3,S10,Electronic City,597.92,603.06,13.27,0.68,13.96,3.52,38,5.14,Medium,1.8,3.0,1,7.0,5.360000000000014,-9.059999999999944,Medium,1,50,60,46,2.3000000000000003,False,7.280000000000007
B5,S10,Electronic City,598.44,603.54,5.36,1.41,6.78,5.93,35,5.1,Medium,1.8,3.0,1,7.0,0.5200000000000955,-4.839999999999918,Medium,2,60,60,28,1.4,False,3.060000000000048
B6,S10,Electronic City,606.85,615.55,2.36,1.45,3.81,5.43,64,8.7,Medium,1.8,3.0,1,7.0,8.409999999999968,7.889999999999873,High,0,24,60,13,0.65,False,5.504999999999984
B2,S2,MG Road,31.39,41.37,1.49,2.14,3.62,2.26,72,9.98,Low,1.0,1.5,2,7.0,10.0,0.0,High,0,36,60,25,1.25,False,7.5
B1,S2,MG Road,31.66,36.77,1.7,1.89,3.59,3.57,33,5.11,Low,1.0,1.5,2,7.0,0.2699999999999996,-9.73,Medium,2,10,60,40,2.0,False,4.135
B3,S2,MG Road,47.27,57.04,1.04,2.77,3.81,4.96,74,9.76,Low,1.0,1.5,2,7.0,15.610000000000005,15.340000000000003,High,0,26,60,32,1.6,False,11.005000000000004
B4,S2,MG Road,48.37,56.34,1.09,1.44,2.54,1.59,60,7.97,Low,1.0,1.5,2,7.0,1.0999999999999943,-14.510000000000009,Medium,2,40,60,27,1.35,False,3.2499999999999973
B5,S2,MG Road,62.32,66.63,2.39,1.08,3.47,3.0,29,4.31,Low,1.0,1.5,2,7.0,13.950000000000005,12.850000000000009,Low,0,15,60,21,1.05,False,9.075000000000005
B6,S2,MG Road,69.03,79.22,4.46,1.32,5.78,3.66,75,10.19,Low,1.0,1.5,2,7.0,6.710000000000001,-7.240000000000002,High,1,31,60,38,1.9,False,7.155000000000001
B1,S2,MG Road,173.49,179.34,5.27,1.38,6.65,8.39,42,5.86,High,3.0,1.5,2,7.0,104.46,97.75,Medium,0,11,60,24,1.2000000000000002,False,54.63
B2,S2,MG Road,188.23,195.67,2.15,1.5,3.65,18.18,51,7.44,High,3.0,1.5,2,7.0,14.73999999999998,-89.72000000000003,Medium,0,59,60,16,0.8,False,8.96999999999999
B3,S2,MG Road,196.77,205.54,12.48,1.71,14.19,7.71,66,8.76,High,3.0,1.5,2,7.0,8.54000000000002,-6.19999999999996,High,0,13,60,13,0.65,False,5.57000000000001
B4,S2,MG Road,200.64,206.72,5.36,1.84,7.19,15.35,45,6.08,High,3.0,1.5,2,7.0,3.869999999999976,-4.670000000000044,Medium,1,40,60,24,1.2000000000000002,False,4.334999999999988
B5,S2,MG Road,203.93,206.84,6.19,2.1,8.29,6.04,14,2.92,High,3.0,1.5,2,7.0,3.2900000000000205,-0.5799999999999557,Low,1,63,60,16,0.8,True,3.2450000000000103
B6,S2,MG Road,218.47,227.89,6.92,2.17,9.09,13.37,71,9.42,High,3.0,1.5,2,7.0,14.539999999999992,11.249999999999972,High,0,38,60,36,1.8,False,10.869999999999996
B1,S2,MG Road,287.78,292.98,3.72,1.62,5.34,3.77,38,5.19,High,3.0,1.5,2,7.0,69.30999999999997,54.76999999999998,Medium,0,67,60,18,0.9,True,36.454999999999984
B2,S2,MG Road,295.08,302.01,7.14,1.54,8.68,3.93,48,6.93,High,3.0,1.5,2,7.0,7.300000000000011,-62.00999999999996,Medium,0,24,60,22,1.1,False,5.850000000000006
B3,S2,MG Road,303.31,310.29,2.38,1.42,3.8,6.23,52,6.98,High,3.0,1.5,2,7.0,8.230000000000018,0.9300000000000068,Medium,0,57,60,36,1.8,False,7.715000000000009
B4,S2,MG Road,315.82,318.38,7.3,2.24,9.54,4.49,11,2.57,High,3.0,1.5,2,7.0,12.509999999999993,4.279999999999973,Low,0,28,60,13,0.65,False,7.554999999999996
B5,S2,MG Road,319.28,322.19,5.83,1.73,7.56,6.28,13,2.91,High,3.0,1.5,2,7.0,3.4599999999999795,-9.050000000000011,Low,1,31,60,29,1.4500000000000002,False,4.62999999999999
B6,S2,MG Road,327.9,334.46,7.99,1.95,9.94,5.23,47,6.55,High,3.0,1.5,2,7.0,8.620000000000005,5.160000000000025,Medium,0,37,60,37,1.85,False,8.010000000000002
B1,S2,MG Road,399.38,407.51,2.94,2.25,5.19,4.75,60,8.13,Medium,1.8,1.5,2,7.0,71.48000000000002,62.860000000000014,Medium,0,43,60,38,1.9,False,39.540000000000006
B2,S2,MG Road,401.48,409.2,1.76,1.85,3.61,2.91,55,7.71,Medium,1.8,1.5,2,7.0,2.1000000000000227,-69.38,Medium,2,52,60,17,0.8500000000000001,False,2.7500000000000115
B3,S2,MG Road,411.01,415.45,1.53,2.16,3.69,4.82,31,4.44,Medium,1.8,1.5,2,7.0,9.529999999999973,7.42999999999995,Medium,0,40,60,46,2.3000000000000003,False,9.364999999999988
B4,S2,MG Road,420.48,426.62,5.2,1.05,6.25,3.56,41,6.14,Medium,1.8,1.5,2,7.0,9.470000000000027,-0.0599999999999454,Medium,0,58,60,38,1.9,False,8.535000000000014
B5,S2,MG Road,432.87,437.45,2.35,2.9,5.24,6.79,33,4.57,Medium,1.8,1.5,2,7.0,12.389999999999986,2.919999999999959,Medium,0,12,60,16,0.8,False,7.794999999999993
B6,S2,MG Road,440.87,447.54,6.79,1.17,7.95,3.51,45,6.67,Medium,1.8,1.5,2,7.0,8.0,-4.389999999999986,Medium,0,14,60,24,1.2000000000000002,False,6.4
B1,S3,Trinity,43.1,45.1,1.9,1.44,3.33,3.59,11,2.0,Low,1.0,1.2,1,7.0,10.0,0.0,Low,0,53,60,31,1.55,False,8.1
B2,S3,Trinity,46.41,54.08,0.61,1.43,2.04,3.62,57,7.67,Low,1.0,1.2,1,7.0,3.309999999999995,-6.690000000000005,Medium,1,40,60,34,1.7000000000000002,False,5.054999999999998
B4,S3,Trinity,61.36,69.55,1.31,0.72,2.02,2.54,61,8.18,Low,1.0,1.2,1,7.0,14.950000000000005,11.640000000000008,High,0,43,60,48,2.4000000000000004,False,12.275000000000002
B3,S3,Trinity,61.94,67.28,1.14,0.76,1.9,3.81,36,5.34,Low,1.0,1.2,1,7.0,0.5799999999999983,-14.370000000000005,Medium,2,22,60,36,1.8,False,3.8899999999999992
B5,S3,Trinity,73.55,78.17,2.61,1.31,3.92,3.47,29,4.63,Low,1.0,1.2,1,7.0,11.61,11.03,Low,0,16,60,39,1.95,False,9.705
B6,S3,Trinity,84.44,90.47,1.0,1.21,2.22,5.78,42,6.03,Low,1.0,1.2,1,7.0,10.89,-0.7199999999999989,Medium,0,41,60,15,0.75,False,6.945
B1,S3,Trinity,195.86,205.33,6.08,1.44,7.52,6.65,67,9.47,High,3.0,1.2,1,7.0,111.42000000000002,100.53000000000002,High,0,10,60,47,2.35,False,60.41000000000001
B2,S3,Trinity,209.19,217.4,3.5,1.02,4.52,3.65,62,8.21,High,3.0,1.2,1,7.0,13.329999999999984,-98.09000000000005,High,0,29,60,35,1.75,False,10.164999999999992
B3,S3,Trinity,223.14,227.52,7.75,0.85,8.6,14.19,32,4.39,High,3.0,1.2,1,7.0,13.949999999999989,0.6200000000000045,Medium,0,27,60,31,1.55,False,10.074999999999994
B4,S3,Trinity,225.15,231.43,7.94,1.49,9.43,7.19,45,6.27,High,3.0,1.2,1,7.0,2.01000000000002,-11.93999999999997,Medium,2,57,60,8,0.4,False,1.80500000000001
B5,S3,Trinity,230.85,234.27,13.54,1.47,15.01,8.29,18,3.42,High,3.0,1.2,1,7.0,5.699999999999989,3.689999999999969,Low,1,25,60,27,1.35,False,5.5499999999999945
B6,S3,Trinity,241.49,244.6,3.58,1.03,4.61,9.09,15,3.1,High,3.0,1.2,1,7.0,10.640000000000017,4.940000000000026,Low,0,38,60,44,2.2,False,9.72000000000001
B1,S3,Trinity,316.09,319.8,12.69,1.42,14.11,5.34,19,3.71,High,3.0,1.2,1,7.0,74.59999999999997,63.95999999999995,Low,0,66,60,29,1.4500000000000002,True,40.19999999999998
B2,S3,Trinity,323.9,327.74,11.87,1.02,12.89,8.68,21,3.84,High,3.0,1.2,1,7.0,7.810000000000002,-66.78999999999996,Low,0,31,60,25,1.25,False,6.405000000000001
B3,S3,Trinity,326.54,335.25,6.57,0.68,7.25,3.8,65,8.71,High,3.0,1.2,1,7.0,2.640000000000043,-5.169999999999959,High,2,67,60,24,1.2000000000000002,True,3.720000000000022
B4,S3,Trinity,335.69,339.88,7.29,1.01,8.3,9.54,27,4.19,High,3.0,1.2,1,7.0,9.149999999999975,6.509999999999934,Low,0,36,60,43,2.15,False,8.874999999999988
B5,S3,Trinity,338.57,341.85,5.96,1.42,7.38,7.56,15,3.28,High,3.0,1.2,1,7.0,2.8799999999999955,-6.269999999999982,Low,2,45,60,18,0.9,False,3.239999999999997
B6,S3,Trinity,352.08,359.79,7.29,1.33,8.63,9.94,59,7.7,High,3.0,1.2,1,7.0,13.509999999999993,10.629999999999995,Medium,0,46,60,33,1.65,False,10.054999999999996
B2,S3,Trinity,418.69,426.36,2.87,1.23,4.09,3.61,52,7.67,Medium,1.8,1.2,1,7.0,66.61000000000001,53.10000000000002,Medium,0,34,60,26,1.3,False,35.90500000000001
B1,S3,Trinity,420.13,424.38,6.02,1.19,7.21,5.19,24,4.26,Medium,1.8,1.2,1,7.0,1.4399999999999975,-65.17000000000002,Low,2,54,60,44,2.2,False,5.119999999999999
B3,S3,Trinity,425.73,433.75,3.41,1.48,4.89,3.69,58,8.02,Medium,1.8,1.2,1,7.0,5.600000000000023,4.160000000000025,Medium,1,61,60,42,2.1,True,7.000000000000012
B4,S3,Trinity,435.88,445.04,3.14,0.72,3.86,6.25,68,9.17,Medium,1.8,1.2,1,7.0,10.149999999999975,4.5499999999999545,High,0,31,60,49,2.45,False,9.974999999999987
B5,S3,Trinity,447.6,451.6,3.78,0.97,4.75,5.24,23,4.0,Medium,1.8,1.2,1,7.0,11.720000000000027,1.57000000000005,Low,0,53,60,14,0.7000000000000001,False,7.260000000000014
B6,S3,Trinity,459.11,467.65,4.95,1.22,6.17,7.95,63,8.54,Medium,1.8,1.2,1,7.0,11.509999999999993,-0.2100000000000363,High,0,59,60,31,1.55,False,8.854999999999997
B1,S4,Ulsoor,53.15,62.22,1.68,1.37,3.05,3.33,67,9.06,Low,1.0,2.5,2,7.0,10.0,0.0,High,0,45,60,9,0.45,False,5.9
B2,S4,Ulsoor,62.3,71.64,1.08,2.14,3.22,2.04,71,9.35,Low,1.0,2.5,2,7.0,9.15,-0.8500000000000014,High,0,68,60,35,1.75,True,8.075
B3,S4,Ulsoor,76.83,83.89,2.7,1.86,4.55,1.9,51,7.06,Low,1.0,2.5,2,7.0,14.53,5.380000000000003,Medium,0,25,60,17,0.8500000000000001,False,8.965
B4,S4,Ulsoor,78.9,86.97,1.41,2.94,4.35,2.02,61,8.07,Low,1.0,2.5,2,7.0,2.0700000000000074,-12.459999999999994,High,2,28,60,11,0.55,False,2.135000000000004
B5,S4,Ulsoor,85.66,91.59,1.13,1.35,2.48,3.92,42,5.94,Low,1.0,2.5,2,7.0,6.759999999999991,4.689999999999984,Medium,1,27,60,46,2.3000000000000003,False,7.979999999999996
B6,S4,Ulsoor,99.36,102.75,2.53,1.36,3.89,2.22,17,3.39,Low,1.0,2.5,2,7.0,13.700000000000005,6.940000000000012,Low,0,28,60,14,0.7000000000000001,False,8.250000000000002
B1,S4,Ulsoor,224.41,230.5,2.93,1.14,4.07,7.52,41,6.09,High,3.0,2.5,2,7.0,125.05,111.35,Medium,0,56,60,47,2.35,False,67.225
B2,S4,Ulsoor,239.96,250.54,4.62,2.93,7.55,4.52,77,10.58,High,3.0,2.5,2,7.0,15.550000000000011,-109.5,High,0,53,60,48,2.4000000000000004,False,12.575000000000006
B3,S4,Ulsoor,252.8,258.72,7.38,2.9,10.28,8.6,43,5.92,High,3.0,2.5,2,7.0,12.840000000000003,-2.710000000000008,Medium,0,42,60,26,1.3,False,9.02
B4,S4,Ulsoor,256.4,261.72,7.42,2.55,9.97,9.43,33,5.33,High,3.0,2.5,2,7.0,3.599999999999966,-9.240000000000038,Medium,1,65,60,10,0.5,True,2.799999999999983
B5,S4,Ulsoor,258.2,261.04,6.69,2.24,8.93,15.01,16,2.85,High,3.0,2.5,2,7.0,1.8000000000000114,-1.7999999999999543,Low,2,64,60,5,0.25,True,1.4000000000000057
B6,S4,Ulsoor,267.9,274.92,5.34,2.96,8.3,4.61,54,7.02,High,3.0,2.5,2,7.0,9.699999999999989,7.899999999999977,Medium,0,33,60,43,2.15,False,9.149999999999997
B1,S4,Ulsoor,339.83,342.04,2.3,2.73,5.03,14.11,14,2.21,High,3.0,2.5,2,7.0,71.93,62.23000000000002,Low,0,10,60,42,2.1,False,40.165000000000006
B2,S4,Ulsoor,351.47,360.48,5.79,2.94,8.73,12.89,66,9.01,High,3.0,2.5,2,7.0,11.640000000000043,-60.28999999999997,High,0,64,60,9,0.45,True,6.720000000000022
B3,S4,Ulsoor,356.42,361.91,3.42,2.75,6.17,7.25,36,5.49,High,3.0,2.5,2,7.0,4.949999999999989,-6.690000000000055,Medium,1,58,60,16,0.8,False,4.074999999999994
B4,S4,Ulsoor,363.33,366.81,6.39,2.07,8.45,8.3,24,3.48,High,3.0,2.5,2,7.0,6.909999999999968,1.9599999999999795,Low,1,50,60,24,1.2000000000000002,False,5.854999999999984
B5,S4,Ulsoor,367.44,375.96,8.61,1.98,10.59,7.38,60,8.52,High,3.0,2.5,2,7.0,4.110000000000014,-2.7999999999999545,Medium,1,35,60,38,1.9,False,5.855000000000008
B6,S4,Ulsoor,382.19,385.05,4.94,2.46,7.4,8.63,18,2.87,High,3.0,2.5,2,7.0,14.75,10.639999999999986,Low,0,50,60,34,1.7000000000000002,False,10.775
B1,S4,Ulsoor,437.49,443.1,2.11,1.99,4.1,7.21,36,5.61,Medium,1.8,2.5,2,7.0,55.30000000000001,40.55000000000001,Medium,0,65,60,28,1.4,True,30.450000000000006
B2,S4,Ulsoor,440.13,450.66,2.63,2.13,4.76,4.09,77,10.53,Medium,1.8,2.5,2,7.0,2.6399999999999864,-52.660000000000025,High,2,29,60,13,0.65,False,2.619999999999993
B3,S4,Ulsoor,447.03,457.17,1.56,2.72,4.28,4.89,72,10.14,Medium,1.8,2.5,2,7.0,6.899999999999977,4.259999999999991,High,1,55,60,40,2.0,False,7.449999999999989
B4,S4,Ulsoor,459.56,470.07,3.33,2.19,5.52,3.86,76,10.51,Medium,1.8,2.5,2,7.0,12.53000000000003,5.630000000000052,High,0,27,60,9,0.45,False,7.165000000000015
B5,S4,Ulsoor,466.34,471.18,3.34,2.4,5.74,4.75,34,4.84,Medium,1.8,2.5,2,7.0,6.779999999999973,-5.750000000000057,Medium,1,68,60,40,2.0,True,7.389999999999986
B6,S4,Ulsoor,482.06,487.01,3.08,2.33,5.41,6.17,31,4.95,Medium,1.8,2.5,2,7.0,15.720000000000027,8.940000000000055,Medium,0,40,60,34,1.7000000000000002,False,11.260000000000014
B1,S5,KR Puram,72.32,78.99,0.77,3.34,4.1,3.05,51,6.67,Low,1.0,3.0,3,7.0,10.0,0.0,Medium,0,19,60,49,2.45,False,9.9
B2,S5,KR Puram,82.5,88.16,0.87,3.99,4.86,3.22,35,5.67,Low,1.0,3.0,3,7.0,10.180000000000009,0.1800000000000068,Medium,0,44,60,39,1.95,False,8.990000000000006
B3,S5,KR Puram,94.78,97.75,1.96,2.93,4.89,4.55,13,2.97,Low,1.0,3.0,3,7.0,12.28,2.0999999999999943,Low,0,13,60,42,2.1,False,10.34
B4,S5,KR Puram,98.05,106.39,3.14,1.94,5.08,4.35,65,8.34,Low,1.0,3.0,3,7.0,3.269999999999996,-9.010000000000003,High,1,36,60,6,0.3,False,2.234999999999998
B5,S5,KR Puram,104.52,113.06,3.4,3.53,6.93,2.48,66,8.53,Low,1.0,3.0,3,7.0,6.469999999999999,3.200000000000003,High,1,47,60,41,2.0500000000000003,False,7.335
B6,S5,KR Puram,113.28,117.74,2.75,1.78,4.53,3.89,31,4.46,Low,1.0,3.0,3,7.0,8.760000000000005,2.2900000000000063,Medium,0,25,60,8,0.4,False,5.180000000000002
B1,S5,KR Puram,253.73,258.2,2.85,2.39,5.23,4.07,26,4.47,High,3.0,3.0,3,7.0,140.45,131.69,Low,0,25,60,46,2.3000000000000003,False,74.82499999999999
B2,S5,KR Puram,276.67,283.77,4.53,3.6,8.13,7.55,49,7.11,High,3.0,3.0,3,7.0,22.940000000000023,-117.50999999999996,Medium,0,58,60,33,1.65,False,14.770000000000012
B4,S5,KR Puram,285.8,290.9,2.54,3.54,6.08,9.97,32,5.09,High,3.0,3.0,3,7.0,9.129999999999995,-13.81000000000003,Medium,0,12,60,17,0.8500000000000001,False,6.264999999999998
B5,S5,KR Puram,287.47,297.05,4.25,4.18,8.42,8.93,75,9.58,High,3.0,3.0,3,7.0,1.670000000000016,-7.4599999999999795,High,2,43,60,43,2.15,False,5.135000000000008
B6,S5,KR Puram,303.06,309.51,5.66,4.48,10.14,8.3,45,6.45,High,3.0,3.0,3,7.0,15.589999999999977,13.91999999999996,Medium,0,17,60,21,1.05,False,9.894999999999987
B3,S5,KR Puram,307.17,310.74,26.9,3.55,30.45,10.28,25,3.57,High,3.0,3.0,3,7.0,4.110000000000014,-11.47999999999996,Low,1,43,60,30,1.5,False,5.055000000000007
B1,S5,KR Puram,374.36,382.2,9.86,4.46,14.32,5.03,58,7.84,High,3.0,3.0,3,7.0,67.19,63.079999999999984,Medium,0,53,60,47,2.35,False,38.295
B2,S5,KR Puram,376.02,379.98,0.89,3.85,4.74,8.73,23,3.96,Medium,1.8,3.0,3,7.0,1.6599999999999682,-65.53000000000003,Low,2,68,60,33,1.65,True,4.129999999999985
B3,S5,KR Puram,376.95,379.48,2.62,1.62,4.25,6.17,14,2.53,Medium,1.8,3.0,3,7.0,0.9300000000000068,-0.7299999999999613,Low,2,31,60,24,1.2000000000000002,False,2.865000000000004
B4,S5,KR Puram,383.04,386.87,2.23,3.19,5.42,8.45,26,3.83,Medium,1.8,3.0,3,7.0,6.090000000000032,5.160000000000025,Low,1,44,60,25,1.25,False,5.545000000000016
